ix,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
32278,2015-580,Australian Open,Hard,128,G,20150119,26,104660,,,Sergiy Stakhovsky,R,193,UKR,29.0349075975,71,699,105583,,,Dusan Lajovic,R,180,SRB,24.5557837098,68,711,6-3 4-6 6-4 6-7(3) 6-4,5,R128,211,14,6,178,103,79,36,25,13,16,4,0,171,107,72,34,26,9,15
32279,2015-580,Australian Open,Hard,128,G,20150119,27,104719,,,Marcel Granollers,R,190,ESP,28.772073922,58,790,103565,,,Stephane Robert,R,185,FRA,34.674880219,132,421,6-3 6-4 6-4,5,R128,124,10,3,92,55,41,18,15,9,11,7,6,92,47,30,23,14,8,13
32280,2015-580,Australian Open,Hard,128,G,20150119,28,104468,18,,Gilles Simon,R,183,FRA,30.0616016427,20,1730,104898,,,Robin Haase,R,190,NED,27.7891854894,83,620,6-1 6-3 6-4,5,R128,83,5,2,64,35,30,20,13,2,3,10,3,76,45,31,8,13,2,8
32281,2015-580,Australian Open,Hard,128,G,20150119,29,105053,30,,Santiago Giraldo,R,188,COL,27.1457905544,32,1175,103401,,Q,Jan Hernych,R,190,CZE,35.537303217,201,244,6-3 6-2 6-2,5,R128,87,5,2,72,53,43,11,13,2,3,4,1,69,44,23,10,12,6,12
32282,2015-580,Australian Open,Hard,128,G,20150119,30,105449,,,Steve Johnson,R,188,USA,25.0704996578,38,993,106378,,Q,Kyle Edmund,R,,GBR,20.0301163587,192,260,6-4 6-4 6-3,5,R128,110,17,4,92,58,45,20,14,1,1,5,4,105,58,35,27,15,6,10
32283,2015-580,Australian Open,Hard,128,G,20150119,31,104471,,,Ivan Dodig,R,183,CRO,30.045174538,86,610,105154,,,Joao Souza,R,193,BRA,26.6475017112,115,488,6-4 7-5 6-4,5,R128,172,10,7,111,73,52,17,16,9,12,7,5,123,72,46,22,16,5,11
32284,2015-580,Australian Open,Hard,128,G,20150119,32,105453,5,,Kei Nishikori,R,178,JPN,25.0568104038,5,5025,104597,,,Nicolas Almagro,R,183,ESP,29.4127310062,69,700,6-4 7-6(1) 6-2,5,R128,127,11,1,94,58,43,19,15,7,10,15,6,118,72,46,18,15,11,17
32285,2015-580,Australian Open,Hard,128,G,20150119,33,104607,7,,Tomas Berdych,R,196,CZE,29.3388090349,7,4660,104268,,,Alejandro Falla,L,185,COL,31.1813826146,101,547,6-3 7-6(1) 6-3,5,R128,114,8,4,102,63,50,18,16,6,9,7,3,80,45,27,19,14,3,8
32286,2015-580,Australian Open,Hard,128,G,20150119,34,103781,,Q,Jurgen Melzer,L,183,AUT,33.6618754278,108,514,103607,,,Victor Estrella,R,173,DOM,34.4640657084,77,659,6-1 6-4 6-2,5,R128,87,10,9,80,47,38,17,13,4,5,1,1,73,44,24,12,12,3,9
32287,2015-580,Australian Open,Hard,128,G,20150119,35,104678,,,Viktor Troicki,R,193,SRB,28.93908282,54,826,106210,,,Jiri Vesely,L,,CZE,21.5277207392,39,985,6-3 3-6 6-2 6-3,5,R128,126,14,2,105,58,41,34,18,3,4,6,5,108,67,47,19,17,2,6
32288,2015-580,Australian Open,Hard,128,G,20150119,36,104919,26,,Leonardo Mayer,R,188,ARG,27.6824093087,26,1389,105357,,WC,John Millman,R,183,AUS,25.5989048597,151,348,6-3 6-3 6-2,5,R128,101,10,4,73,49,43,10,13,0,1,0,6,74,43,25,12,13,3,9
32289,2015-580,Australian Open,Hard,128,G,20150119,37,104259,22,,Philipp Kohlschreiber,R,178,GER,31.2607802875,24,1415,103908,,,Paul Henri Mathieu,R,185,FRA,33.0184804928,93,570,6-2 6-2 6-1,5,R128,85,18,2,56,36,31,13,11,0,0,8,6,80,49,26,13,12,5,12
32290,2015-580,Australian Open,Hard,128,G,20150119,38,106071,,,Bernard Tomic,R,193,AUS,22.2450376454,66,737,104735,,,Tobias Kamke,R,180,GER,28.6652977413,95,560,7-5 6-7(1) 6-3 6-2,5,R128,169,24,1,137,94,70,21,21,7,9,3,2,119,67,47,25,20,4,10
32291,2015-580,Australian Open,Hard,128,G,20150119,39,105032,,,Samuel Groth,R,,AUS,27.2525667351,82,625,105936,,,Filip Krajinovic,R,185,SRB,22.893908282,97,558,6-3 7-6(4) 6-4,5,R128,111,24,4,96,68,57,15,16,1,1,5,0,94,60,39,22,15,7,9
32292,2015-580,Australian Open,Hard,128,G,20150119,40,106423,,WC,Thanasi Kokkinakis,R,,AUS,18.7761806982,147,361,105208,11,,Ernests Gulbis,R,190,LAT,26.3874058864,13,2455,5-7 6-0 1-6 7-6(2) 8-6,5,R128,247,16,11,177,100,70,32,26,14,21,29,18,159,82,66,31,25,6,13
32293,2015-580,Australian Open,Hard,128,G,20150119,41,104731,14,,Kevin Anderson,R,203,RSA,28.6735112936,15,2125,106043,,,Diego Sebastian Schwartzman,R,,ARG,22.4257357974,59,789,7-6(5) 7-5 5-7 6-4,5,R128,215,32,9,165,112,86,21,23,10,14,8,2,170,89,61,45,23,13,18
32294,2015-580,Australian Open,Hard,128,G,20150119,42,105575,,,Ricardas Berankis,R,175,LTU,24.5804243669,85,615,104997,,,Igor Sijsling,R,190,NED,27.4223134839,84,619,2-6 6-4 7-6(2) 6-7(6) 6-4,5,R128,198,7,4,173,108,81,33,26,9,14,14,6,176,106,76,39,26,9,14
32295,2015-580,Australian Open,Hard,128,G,20150119,43,105902,,WC,James Duckworth,R,183,AUS,22.9952087611,120,468,104882,,,Blaz Kavcic,R,188,SLO,27.8767967146,102,545,6-2 5-7 7-6(7) 3-6 6-2,5,R128,225,13,8,171,98,74,33,24,11,15,7,8,154,113,70,24,25,1,7
32296,2015-580,Australian Open,Hard,128,G,20150119,44,104755,24,,Richard Gasquet,R,185,FRA,28.5886379192,28,1350,104122,,,Carlos Berlocq,R,183,ARG,31.9589322382,70,700,6-1 6-3 6-1,5,R128,113,5,2,71,46,37,15,12,1,1,3,3,86,47,26,15,11,5,11
32297,2015-580,Australian Open,Hard,128,G,20150119,45,104586,28,,Lukas Rosol,R,196,CZE,29.4893908282,30,1210,104932,,,Kenny De Schepper,L,203,FRA,27.6440793977,94,565,4-6 6-2 6-7(4) 6-3 6-4,5,R128,197,14,6,171,100,75,38,25,11,13,11,6,161,111,79,22,24,17,22
32298,2015-580,Australian Open,Hard,128,G,20150119,46,104534,,,Dudi Sela,R,175,ISR,29.7932922656,106,520,105526,,,Jan Lennard Struff,R,,GER,24.7364818617,57,801,6-4 4-6 3-6 6-3 7-5,5,R128,208,3,6,172,102,64,34,25,11,18,11,6,161,83,60,32,25,9,17
32299,2015-580,Australian Open,Hard,128,G,20150119,47,105065,,Q,Tim Smyczek,R,175,USA,27.0554414784,112,502,106291,,WC,Luke Saville,R,,AUS,20.9637234771,164,313,7-6(2) 7-5 6-4,5,R128,139,6,3,97,61,44,23,17,4,7,5,4,119,74,46,23,17,8,13
32300,2015-580,Australian Open,Hard,128,G,20150119,48,104745,3,,Rafael Nadal,L,185,ESP,28.629705681,3,6585,104022,,,Mikhail Youzhny,R,183,RUS,32.5694729637,49,850,6-3 6-2 6-2,5,R128,110,4,3,57,35,31,18,12,1,1,5,5,85,47,28,15,13,5,11
32301,2015-580,Australian Open,Hard,128,G,20150119,49,104918,6,,Andy Murray,R,190,GBR,27.6824093087,6,4675,106026,,Q,Yuki Bhambri,R,183,IND,22.5434633812,317,151,6-3 6-4 7-6(3),5,R128,133,13,0,92,59,42,26,16,3,5,5,3,114,76,46,18,15,2,6
32302,2015-580,Australian Open,Hard,128,G,20150119,50,104594,,,Marinko Matosevic,R,194,AUS,29.4483230664,81,628,104628,,Q,Alexander Kudryavtsev,R,183,RUS,29.2320328542,127,439,6-4 6-7(5) 4-6 7-5 6-3,5,R128,208,10,7,167,106,72,37,27,4,8,11,7,178,88,60,49,26,16,22
32303,2015-580,Australian Open,Hard,128,G,20150119,51,105311,,,Joao Sousa,R,,POR,25.8069815195,55,822,111442,,WC,Jordan Thompson,R,,AUS,20.7501711157,274,182,6-4 7-6(5) 6-4,5,R128,148,4,1,111,76,54,18,16,6,8,4,10,130,72,46,29,16,13,17
32304,2015-580,Australian Open,Hard,128,G,20150119,52,105373,32,,Martin Klizan,L,190,SVK,25.5249828884,34,1133,105147,,,Tatsuma Ito,R,180,JPN,26.6721423682,89,588,7-6(6) 6-2 6-4,5,R128,129,5,1,93,60,45,19,15,5,7,3,6,108,58,40,21,15,5,10
32305,2015-580,Australian Open,Hard,128,G,20150119,53,105676,20,,David Goffin,R,163,BEL,24.1177275838,22,1669,103188,,Q,Michael Russell,R,173,USA,36.720054757,156,325,6-3 6-3 5-7 6-0,5,R128,172,11,9,122,59,40,33,18,13,17,4,7,153,96,52,24,18,14,23
32306,2015-580,Australian Open,Hard,128,G,20150119,54,104571,,,Marcos Baghdatis,R,183,CYP,29.5906913073,78,658,104559,,,Teymuraz Gabashvili,R,188,RUS,29.659137577,67,730,6-2 6-7(5) 3-6 6-4 6-4,5,R128,217,29,5,156,95,73,29,25,4,9,7,4,181,105,64,41,24,16,23
32307,2015-580,Australian Open,Hard,128,G,20150119,55,105041,,,Lukas Lacko,R,185,SVK,27.2114989733,99,553,104216,,,Maximo Gonzalez,R,175,ARG,31.5017111567,98,554,4-6 6-2 7-5 6-7(4) 6-1,5,R128,206,18,0,132,85,70,22,24,1,5,8,4,183,114,71,35,25,11,20
32308,2015-580,Australian Open,Hard,128,G,20150119,56,105777,10,,Grigor Dimitrov,R,188,BUL,23.6796714579,11,3645,104460,,,Dustin Brown,R,196,GER,30.1136208077,90,584,6-2 6-3 6-2,5,R128,69,11,1,61,41,36,16,13,0,0,2,7,70,47,30,7,12,6,11
32309,2015-580,Australian Open,Hard,128,G,20150119,57,104273,,,Edouard Roger Vasselin,R,188,FRA,31.1430527036,119,470,103990,15,,Tommy Robredo,R,180,ESP,32.720054757,17,2015,2-3 RET,5,R128,20,0,0,15,10,8,2,3,0,1,1,0,17,11,8,3,2,1,1
32310,2015-580,Australian Open,Hard,128,G,20150119,58,104291,,,Malek Jaziri,R,185,TUN,30.9979466119,75,676,105062,,,Mikhail Kukushkin,R,183,KAZ,27.0663928816,51,847,6-2 6-3 2-6 7-6(3),5,R128,184,3,7,135,74,52,33,19,14,17,5,3,127,79,50,26,18,9,13
32311,2015-580,Australian Open,Hard,128,G,20150119,59,106401,,,Nick Kyrgios,R,,AUS,19.7316906229,53,830,105643,,,Federico Delbonis,L,190,ARG,24.2902121834,62,775,7-6(2) 3-6 6-3 6-7(5) 6-3,5,R128,188,21,5,160,104,82,33,26,7,9,14,5,165,110,82,28,25,11,14
32312,2015-580,Australian Open,Hard,128,G,20150119,60,103333,23,,Ivo Karlovic,R,208,CRO,35.8904859685,27,1365,105074,,Q,Ruben Bemelmans,L,,BEL,27.0143737166,173,293,6-4 6-2 6-4,5,R128,93,19,3,69,50,46,11,14,2,2,7,6,85,51,34,18,14,7,11
32313,2015-580,Australian Open,Hard,128,G,20150119,61,104871,29,,Jeremy Chardy,R,188,FRA,27.9342915811,31,1195,106432,,,Borna Coric,R,,CRO,18.1793292266,91,577,3-6 6-4 7-5 6-4,5,R128,164,15,2,125,82,64,22,21,4,6,9,1,111,70,49,25,20,3,6
32314,2015-580,Australian Open,Hard,128,G,20150119,62,104312,,,Andreas Seppi,R,190,ITA,30.9103353867,46,915,104797,,,Denis Istomin,R,188,UZB,28.3668720055,50,850,5-7 6-3 2-6 6-1 6-4,5,R128,171,12,3,148,91,71,25,23,8,11,17,1,144,86,65,25,23,13,18
32315,2015-580,Australian Open,Hard,128,G,20150119,63,104620,,,Simone Bolelli,R,183,ITA,29.2813141684,48,864,104338,,,Juan Monaco,R,185,ARG,30.8090349076,63,770,6-3 3-6 6-3 6-1,5,R128,144,4,2,90,54,41,21,17,4,8,7,2,125,80,45,21,17,12,20
32316,2015-580,Australian Open,Hard,128,G,20150119,64,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,104229,,,Yen Hsun Lu,R,180,TPE,31.4332648871,47,888,6-4 6-2 7-5,5,R128,113,9,3,83,56,48,17,15,4,4,1,2,97,57,35,22,15,10,14
32317,2015-580,Australian Open,Hard,128,G,20150119,65,104925,1,,Novak Djokovic,R,188,SRB,27.6632443532,1,11405,105723,,,Andrey Kuznetsov,R,185,RUS,23.9069130732,88,595,6-0 6-1 6-4,5,R64,84,7,2,57,35,30,15,12,0,1,2,3,80,39,24,12,11,6,13
32318,2015-580,Australian Open,Hard,128,G,20150119,66,104269,31,,Fernando Verdasco,L,188,ESP,31.1786447639,33,1135,104424,,,Go Soeda,R,178,JPN,30.3709787817,92,571,6-3 6-2 7-6(3),5,R64,116,15,4,95,62,49,19,15,5,6,3,0,92,56,39,16,14,5,9
32319,2015-580,Australian Open,Hard,128,G,20150119,67,104545,19,,John Isner,R,206,USA,29.7330595483,21,1685,104890,,,Andreas Haider Maurer,R,190,AUT,27.8302532512,79,651,6-4 7-6(4) 4-6 6-4,5,R64,142,27,3,100,69,63,23,21,1,2,21,8,128,83,62,27,21,3,5
32320,2015-580,Australian Open,Hard,128,G,20150119,68,104180,,,Gilles Muller,L,193,LUX,31.6988364134,42,964,105138,13,,Roberto Bautista Agut,R,,ESP,26.765229295,16,2110,7-6(5) 1-6 7-5 6-1,5,R64,153,27,6,121,77,63,21,19,6,8,15,3,107,69,56,23,19,3,6
32321,2015-580,Australian Open,Hard,128,G,20150119,69,103852,12,,Feliciano Lopez,L,188,ESP,33.3305954825,14,2130,105173,,,Adrian Mannarino,L,183,FRA,26.5571526352,36,1043,4-6 4-6 7-6(3) 4-0 RET,5,R64,158,21,5,107,56,32,25,18,10,19,5,10,107,68,45,11,18,10,19
32322,2015-580,Australian Open,Hard,128,G,20150119,70,105668,,,Jerzy Janowicz,R,203,POL,24.1834360027,44,925,104792,17,,Gael Monfils,R,193,FRA,28.3832991102,19,1770,6-4 1-6 6-7(3) 6-3 6-3,5,R64,187,14,9,143,99,72,18,23,7,11,20,4,154,103,79,19,24,11,17
32323,2015-580,Australian Open,Hard,128,G,20150119,71,103794,,,Benjamin Becker,R,178,GER,33.5934291581,41,973,103720,,,Lleyton Hewitt,R,180,AUS,33.9000684463,87,595,2-6 1-6 6-3 6-4 6-2,5,R64,182,16,2,122,77,55,21,21,5,10,14,4,125,66,44,34,21,6,11
32324,2015-580,Australian Open,Hard,128,G,20150119,72,105683,8,,Milos Raonic,R,196,CAN,24.0629705681,8,4575,105385,,,Donald Young,L,183,USA,25.492128679,56,809,6-4 7-6(3) 6-3,5,R64,102,17,2,82,56,50,20,16,0,0,4,4,91,64,51,12,15,2,4
32325,2015-580,Australian Open,Hard,128,G,20150119,73,104527,4,,Stanislas Wawrinka,R,183,SUI,29.8124572211,4,5370,105657,,Q,Marius Copil,R,193,ROU,24.257357974,194,254,7-6(4) 7-6(4) 6-3,5,R64,136,3,3,112,83,61,17,17,5,6,16,3,100,56,41,29,16,5,7
32326,2015-580,Australian Open,Hard,128,G,20150119,74,103813,,,Jarkko Nieminen,L,185,FIN,33.492128679,72,693,104897,,Q,Matthias Bachinger,R,188,GER,27.8001368925,142,378,7-6(4) 7-5 7-5,5,R64,140,5,1,120,89,63,16,18,10,13,12,7,120,75,54,18,18,11,16
32327,2015-580,Australian Open,Hard,128,G,20150119,75,105577,,,Vasek Pospisil,R,193,CAN,24.5749486653,60,785,103893,,,Paolo Lorenzi,R,183,ITA,33.0951403149,64,759,6-7(3) 7-6(4) 6-3 6-4,5,R64,215,22,7,160,84,65,41,22,4,6,11,4,135,73,57,32,21,6,10
32328,2015-580,Australian Open,Hard,128,G,20150119,76,104198,,,Guillermo Garcia Lopez,R,188,ESP,31.627652293,37,1020,105292,,,Alejandro Gonzalez,R,,COL,25.9466119097,107,519,6-1 6-3 6-3,5,R64,113,7,5,83,44,33,23,13,3,4,5,4,76,43,26,9,12,4,10
32329,2015-580,Australian Open,Hard,128,G,20150119,77,103970,9,,David Ferrer,R,175,ESP,32.7994524298,10,4145,104660,,,Sergiy Stakhovsky,R,193,UKR,29.0349075975,71,699,5-7 6-3 6-4 6-2,5,R64,135,2,4,104,74,56,20,20,3,5,13,5,117,77,50,21,19,8,13
32330,2015-580,Australian Open,Hard,128,G,20150119,78,104468,18,,Gilles Simon,R,183,FRA,30.0616016427,20,1730,104719,,,Marcel Granollers,R,190,ESP,28.772073922,58,790,7-6(5) 6-2 6-4,5,R64,136,5,2,87,59,49,13,15,0,2,6,2,95,54,36,22,15,5,10
32331,2015-580,Australian Open,Hard,128,G,20150119,79,105449,,,Steve Johnson,R,188,USA,25.0704996578,38,993,105053,30,,Santiago Giraldo,R,188,COL,27.1457905544,32,1175,6-3 6-4 6-2,5,R64,118,17,2,109,54,45,24,14,8,9,3,3,90,59,37,12,13,6,11
32332,2015-580,Australian Open,Hard,128,G,20150119,80,105453,5,,Kei Nishikori,R,178,JPN,25.0568104038,5,5025,104471,,,Ivan Dodig,R,183,CRO,30.045174538,86,610,4-6 7-5 6-2 7-6(0),5,R64,167,7,3,122,79,60,24,21,2,5,15,2,116,73,57,14,21,2,7
32333,2015-580,Australian Open,Hard,128,G,20150119,81,104607,7,,Tomas Berdych,R,196,CZE,29.3388090349,7,4660,103781,,Q,Jurgen Melzer,L,183,AUT,33.6618754278,108,514,7-6(0) 6-2 6-2,5,R64,123,9,2,84,46,38,18,14,3,5,5,4,96,59,34,16,14,4,10
32334,2015-580,Australian Open,Hard,128,G,20150119,82,104678,,,Viktor Troicki,R,193,SRB,28.93908282,54,826,104919,26,,Leonardo Mayer,R,188,ARG,27.6824093087,26,1389,6-4 4-6 6-4 6-0,5,R64,148,11,1,112,77,63,12,18,6,8,6,3,111,68,40,26,18,8,14
32335,2015-580,Australian Open,Hard,128,G,20150119,83,106071,,,Bernard Tomic,R,193,AUS,22.2450376454,66,737,104259,22,,Philipp Kohlschreiber,R,178,GER,31.2607802875,24,1415,6-7(5) 6-4 7-6(6) 7-6(5),5,R64,185,24,2,165,127,99,18,23,5,6,19,3,150,104,79,30,23,6,8
32336,2015-580,Australian Open,Hard,128,G,20150119,84,105032,,,Samuel Groth,R,,AUS,27.2525667351,82,625,106423,,WC,Thanasi Kokkinakis,R,,AUS,18.7761806982,147,361,3-6 6-3 7-5 3-6 6-1,5,R64,173,26,3,127,85,66,26,23,2,4,14,4,124,78,63,20,23,4,8
32337,2015-580,Australian Open,Hard,128,G,20150119,85,104731,14,,Kevin Anderson,R,203,RSA,28.6735112936,15,2125,105575,,,Ricardas Berankis,R,175,LTU,24.5804243669,85,615,6-2 6-2 7-6(3),5,R64,107,14,1,75,51,42,19,14,0,0,4,6,95,47,31,22,14,3,7
32338,2015-580,Australian Open,Hard,128,G,20150119,86,104755,24,,Richard Gasquet,R,185,FRA,28.5886379192,28,1350,105902,,WC,James Duckworth,R,183,AUS,22.9952087611,120,468,6-2 6-3 7-5,5,R64,116,23,1,87,58,47,18,15,3,3,14,5,106,70,47,16,14,12,16
32339,2015-580,Australian Open,Hard,128,G,20150119,87,104534,,,Dudi Sela,R,175,ISR,29.7932922656,106,520,104586,28,,Lukas Rosol,R,196,CZE,29.4893908282,30,1210,7-6(2) 5-7 7-5 6-3,5,R64,178,12,4,143,87,61,33,22,9,12,17,5,137,74,57,29,23,10,15
32340,2015-580,Australian Open,Hard,128,G,20150119,88,104745,3,,Rafael Nadal,L,185,ESP,28.629705681,3,6585,105065,,Q,Tim Smyczek,R,175,USA,27.0554414784,112,502,6-2 3-6 6-7(2) 6-3 7-5,5,R64,252,3,7,154,98,68,29,26,2,7,15,1,156,102,66,29,24,9,16
32341,2015-580,Australian Open,Hard,128,G,20150119,89,104918,6,,Andy Murray,R,190,GBR,27.6824093087,6,4675,104594,,,Marinko Matosevic,R,194,AUS,29.4483230664,81,628,6-1 6-3 6-2,5,R64,102,5,2,63,39,33,14,12,1,2,3,6,83,43,26,14,12,7,14
32342,2015-580,Australian Open,Hard,128,G,20150119,90,105311,,,Joao Sousa,R,,POR,25.8069815195,55,822,105373,32,,Martin Klizan,L,190,SVK,25.5249828884,34,1133,4-6 7-6(4) 6-4 1-0 RET,5,R64,151,8,1,98,68,49,16,16,7,10,11,9,128,71,49,28,17,13,17
32343,2015-580,Australian Open,Hard,128,G,20150119,91,104571,,,Marcos Baghdatis,R,183,CYP,29.5906913073,78,658,105676,20,,David Goffin,R,163,BEL,24.1177275838,22,1669,6-1 6-4 4-6 6-0,5,R64,152,16,4,130,75,54,24,17,5,9,5,10,99,47,27,16,16,7,16
32344,2015-580,Australian Open,Hard,128,G,20150119,92,105777,10,,Grigor Dimitrov,R,188,BUL,23.6796714579,11,3645,105041,,,Lukas Lacko,R,185,SVK,27.2114989733,99,553,6-3 6-7(10) 6-3 6-3,5,R64,169,14,4,118,66,57,28,20,4,7,8,2,148,92,55,28,19,13,20
32345,2015-580,Australian Open,Hard,128,G,20150119,93,104291,,,Malek Jaziri,R,185,TUN,30.9979466119,75,676,104273,,,Edouard Roger Vasselin,R,188,FRA,31.1430527036,119,470,1-6 6-3 6-4 1-6 6-3,5,R64,176,10,3,141,71,51,35,21,12,17,17,5,119,85,65,16,21,6,10
32346,2015-580,Australian Open,Hard,128,G,20150119,94,106401,,,Nick Kyrgios,R,,AUS,19.7316906229,53,830,103333,23,,Ivo Karlovic,R,208,CRO,35.8904859685,27,1365,7-6(4) 6-4 5-7 6-4,5,R64,140,24,4,119,77,60,31,22,1,2,39,6,110,74,65,23,22,4,6
32347,2015-580,Australian Open,Hard,128,G,20150119,95,104312,,,Andreas Seppi,R,190,ITA,30.9103353867,46,915,104871,29,,Jeremy Chardy,R,188,FRA,27.9342915811,31,1195,7-5 3-6 6-2 6-1,5,R64,152,8,1,116,75,57,22,18,4,6,17,10,129,76,56,16,18,9,15
32348,2015-580,Australian Open,Hard,128,G,20150119,96,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,104620,,,Simone Bolelli,R,183,ITA,29.2813141684,48,864,3-6 6-3 6-2 6-2,5,R64,129,16,0,92,64,50,20,17,0,1,8,3,109,57,36,28,17,6,11
32349,2015-580,Australian Open,Hard,128,G,20150119,97,104925,1,,Novak Djokovic,R,188,SRB,27.6632443532,1,11405,104269,31,,Fernando Verdasco,L,188,ESP,31.1786447639,33,1135,7-6(8) 6-3 6-4,5,R32,141,11,0,91,66,54,17,16,3,3,16,5,123,76,58,17,15,12,14
32350,2015-580,Australian Open,Hard,128,G,20150119,98,104180,,,Gilles Muller,L,193,LUX,31.6988364134,42,964,104545,19,,John Isner,R,206,USA,29.7330595483,21,1685,7-6(4) 7-6(6) 6-4,5,R32,133,23,3,97,59,53,28,17,1,1,30,2,113,87,69,13,17,5,6
32351,2015-580,Australian Open,Hard,128,G,20150119,99,103852,12,,Feliciano Lopez,L,188,ESP,33.3305954825,14,2130,105668,,,Jerzy Janowicz,R,203,POL,24.1834360027,44,925,7-6(6) 6-4 7-6(3),5,R32,153,19,4,123,64,51,35,17,10,11,11,5,115,73,54,20,17,6,8
32352,2015-580,Australian Open,Hard,128,G,20150119,100,105683,8,,Milos Raonic,R,196,CAN,24.0629705681,8,4575,103794,,,Benjamin Becker,R,178,GER,33.5934291581,41,973,6-4 6-3 6-3,5,R32,101,22,5,73,52,43,11,14,2,3,7,2,92,65,40,13,14,9,14
32353,2015-580,Australian Open,Hard,128,G,20150119,101,104527,4,,Stanislas Wawrinka,R,183,SUI,29.8124572211,4,5370,103813,,,Jarkko Nieminen,L,185,FIN,33.492128679,72,693,6-4 6-2 6-4,5,R32,109,9,2,78,42,38,17,14,1,3,4,5,103,69,38,16,14,10,16
32354,2015-580,Australian Open,Hard,128,G,20150119,102,104198,,,Guillermo Garcia Lopez,R,188,ESP,31.627652293,37,1020,105577,,,Vasek Pospisil,R,193,CAN,24.5749486653,60,785,6-2 6-4 6-4,5,R32,120,3,4,92,38,27,35,14,5,6,7,3,75,47,32,11,14,3,8
32355,2015-580,Australian Open,Hard,128,G,20150119,103,103970,9,,David Ferrer,R,175,ESP,32.7994524298,10,4145,104468,18,,Gilles Simon,R,183,FRA,30.0616016427,20,1730,6-2 7-5 5-7 7-6(4),5,R32,217,4,5,138,88,55,24,22,5,12,3,4,147,86,50,28,22,7,16
32356,2015-580,Australian Open,Hard,128,G,20150119,104,105453,5,,Kei Nishikori,R,178,JPN,25.0568104038,5,5025,105449,,,Steve Johnson,R,188,USA,25.0704996578,38,993,6-7(7) 6-1 6-2 6-3,5,R32,149,15,5,120,78,58,25,18,6,7,8,8,122,73,51,17,18,3,10
32357,2015-580,Australian Open,Hard,128,G,20150119,105,104607,7,,Tomas Berdych,R,196,CZE,29.3388090349,7,4660,104678,,,Viktor Troicki,R,193,SRB,28.93908282,54,826,6-4 6-3 6-4,5,R32,111,20,0,77,44,39,22,15,0,0,11,5,100,72,50,8,14,9,12
32358,2015-580,Australian Open,Hard,128,G,20150119,106,106071,,,Bernard Tomic,R,193,AUS,22.2450376454,66,737,105032,,,Samuel Groth,R,,AUS,27.2525667351,82,625,6-4 7-6(8) 6-3,5,R32,103,9,2,91,68,56,14,16,0,0,16,6,92,60,49,13,15,2,4
32359,2015-580,Australian Open,Hard,128,G,20150119,107,104731,14,,Kevin Anderson,R,203,RSA,28.6735112936,15,2125,104755,24,,Richard Gasquet,R,185,FRA,28.5886379192,28,1350,6-4 7-6(3) 7-6(6),5,R32,144,18,3,106,73,61,18,17,5,6,5,4,104,59,47,24,17,0,2
32360,2015-580,Australian Open,Hard,128,G,20150119,108,104745,3,,Rafael Nadal,L,185,ESP,28.629705681,3,6585,104534,,,Dudi Sela,R,175,ISR,29.7932922656,106,520,6-1 6-0 7-5,5,R32,124,4,0,75,51,39,15,12,7,7,2,1,86,51,30,13,13,11,18
32361,2015-580,Australian Open,Hard,128,G,20150119,109,104918,6,,Andy Murray,R,190,GBR,27.6824093087,6,4675,105311,,,Joao Sousa,R,,POR,25.8069815195,55,822,6-1 6-1 7-5,5,R32,126,9,3,74,42,34,20,13,1,2,0,3,96,55,30,19,13,7,14
32362,2015-580,Australian Open,Hard,128,G,20150119,110,105777,10,,Grigor Dimitrov,R,188,BUL,23.6796714579,11,3645,104571,,,Marcos Baghdatis,R,183,CYP,29.5906913073,78,658,4-6 6-3 3-6 6-3 6-3,5,R32,208,6,9,155,98,73,29,23,8,10,16,10,154,92,60,36,23,14,18
32363,2015-580,Australian Open,Hard,128,G,20150119,111,106401,,,Nick Kyrgios,R,,AUS,19.7316906229,53,830,104291,,,Malek Jaziri,R,185,TUN,30.9979466119,75,676,6-3 7-6(6) 6-1,5,R32,118,27,2,101,72,58,14,15,3,3,6,2,90,47,34,21,13,5,8
32364,2015-580,Australian Open,Hard,128,G,20150119,112,104312,,,Andreas Seppi,R,190,ITA,30.9103353867,46,915,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,6-4 7-6(5) 4-6 7-6(5),5,R32,177,4,4,151,86,67,32,22,7,10,15,9,138,82,66,27,22,2,5
32365,2015-580,Australian Open,Hard,128,G,20150119,113,104925,1,,Novak Djokovic,R,188,SRB,27.6632443532,1,11405,104180,,,Gilles Muller,L,193,LUX,31.6988364134,42,964,6-4 7-5 7-5,5,R16,128,13,4,92,65,53,18,17,4,4,8,0,105,65,47,21,17,8,11
